text,alpha2_code,language_code,date,cluster,country,tokens,state
"Invasione russa, la comunità ucraina in Italia sotto choc: ""Torniamo in patria per combattere&quo - Gazzetta del Sud",CH,it,2022-02-24,Sanktions Russia and War Strategy,Switzerland,38,Lower Saxony
"Dopo l'invasione, sotto il cielo terribile di Kiev. Reportage dalla ... - Il Manifesto",CH,it,2022-02-24,Current Information War,Switzerland,25,Aargau
Ukraine Krieg: Russland nimmt Katastrophen-Ort Tschernobyl ein - Nau.ch,CH,de,2022-02-24,Sanktions Russia and War Strategy,Switzerland,25,Basel
Krieg in der Ukraine: Mehr als 100.000 auf der Flucht - tagesschau.de,CH,de,2022-02-25,Current Information War,Switzerland,22,Grisons
Krieg in der Ukraine - Die grosse Flucht nach Westen – die Übersicht - SRF – Schweizer Radio und Fernsehen,CH,de,2022-02-25,Current Information War,Switzerland,28,Aargau
Ukraine: Deutschland bereitet sich auf Flüchtlinge vor - DW (Deutsch),CH,de,2022-02-25,Current Information Refugees,Switzerland,20,Fribourg
Todesangst in Kiew: Offene Arme bei den Nachbarländern - zdf.de,CH,de,2022-02-25,Current Information War,Switzerland,22,Uri
Solidarität mit der Ukraine heißt auch: Fluchtwege offen halten! - Pro Asyl,CH,de,2022-02-25,Volunteering and Donations,Switzerland,21,Zug
"Flucht aus der Ukraine: ""Vielleicht helfen uns gute Menschen"" - VIENNA.AT - Alles über Wien",CH,de,2022-02-25,Volunteering and Donations,Switzerland,25,Schleswig-Holstein
Flucht aus der Ukraine: Ein Dachdecker aus SH berichtet - NDR.de,CH,de,2022-02-25,Volunteering and Donations,Switzerland,19,Basel
"Flucht aus der Ukraine: ""Wir wollen weiter, wissen aber nicht wohin"" - n-tv NACHRICHTEN",CH,de,2022-02-25,Volunteering and Donations,Switzerland,27,Saxony
Russland-Ukraine-Krieg: BW bereitet sich auf Flüchtlinge vor - SWR Aktuell,CH,de,2022-02-25,Sanktions Russia and War Strategy,Switzerland,23,Aargau
Krieg in der Ukraine: Viele Ukrainer werden laut Experten flüchten - watson - Politik,CH,de,2022-02-25,Volunteering and Donations,Switzerland,23,Nidwalden
Ukraine-Krieg: Mehr als 100.000 Menschen fliehen - Deutsches ... - Merkur.de,CH,de,2022-02-25,Volunteering and Donations,Switzerland,24,Hesse
So bereitet sich Deutschland auf Geflüchtete aus der Ukraine vor - fr.de,CH,de,2022-02-25,Current Information Refugees,Switzerland,18,Brandenburg
Wichtige Infos zu Einreise und Verbleib in Deutschland für Ukrainer ... - Pro Asyl,CH,de,2022-02-25,Volunteering and Donations,Switzerland,22,Glarus
Kriegsflüchtlinge aus der Ukraine: Unterkunft im Ankunftszentrum - Berlin.de,CH,de,2022-02-25,Local Communities,Switzerland,24,Neuchâtel
"Fotos aus dem Russland-Ukraine-Krieg: Es flieht, wer darf - DER ... - DER SPIEGEL",CH,de,2022-02-25,Sanktions Russia and War Strategy,Switzerland,26,Valais
"Musiker zum Ukraine-Krieg: Petrenko: ""Ein Messer in den Rücken ... - BR-Klassik",CH,de,2022-02-25,Volunteering and Donations,Switzerland,25,Thuringia
Landkreis bereitet sich auf Flüchtlinge aus der Ukraine vor - Donau-Ries-Aktuell,CH,de,2022-02-25,Local Communities,Switzerland,24,Thurgau
Russland-Ukraine-Ticker vom Freitag: Nato kündigt Truppen-Verstärkung in Osteuropa an - MDR,CH,de,2022-02-25,Current Information War,Switzerland,32,Fribourg
Ukraine-Krieg: Russlands Invasion - Kann der Krieg nach Deutschland kommen? - RND,CH,de,2022-02-25,Sanktions Russia and War Strategy,Switzerland,20,Fribourg
Ukrainer auf der Flucht nach Bielefeld - Stadt startet Vorbereitungen - Neue Westfälische,CH,de,2022-02-25,Volunteering and Donations,Switzerland,26,Schleswig-Holstein
"Ukraine-Krieg: Was Anleger jetzt tun können, was Fonds-Legende ... - Merkur.de",CH,de,2022-02-25,Volunteering and Donations,Switzerland,24,Baden-Württemberg
Krieg in der Ukraine: Vater verabschiedet sich in emotionalem Video ... - hna.de,CH,de,2022-02-25,Children and Human Rights,Switzerland,22,Obwalden
Landkreis Dachau bereitet sich auf Ukraine-Flüchtlinge vor - Merkur.de,CH,de,2022-02-25,Local Communities,Switzerland,22,Basel
Krieg in Ukraine: Politik in RLP bereitet sich auf Flüchtlinge vor - SWR Aktuell,CH,de,2022-02-25,Local Communities,Switzerland,25,North Rhine-Westphalia
"Klitschko-Brüder erklären sich bereit, selbst in den Krieg zu ziehen ... - Merkur.de",CH,de,2022-02-25,Current Information War,Switzerland,28,Mecklenburg-Vorpommern
Ukraine-Krieg: Frau aus Heilbronn bangt um Familie in Ukraine - SWR Aktuell,CH,de,2022-02-25,Children and Human Rights,Switzerland,22,Brandenburg
MV erwartet erste Flüchtlinge aus der Ukraine - NDR.de,CH,de,2022-02-25,Local Communities,Switzerland,17,Rhineland-Palatinate
"Ukrainische Flüchtlinge: Geschockt vom Krieg ""im Herzen Europas"" - DW (Deutsch)",CH,de,2022-02-25,Local Communities,Switzerland,29,Ticino
Krieg in der Ukraine: Flüchtlinge erster Klasse | nd-aktuell.de - nd - Journalismus von links,CH,de,2022-02-25,Local Communities,Switzerland,28,Schleswig-Holstein
Flucht vor Ukraine-Krieg: Heilbronn sieht sich gut vorbereitet - SWR Aktuell,CH,de,2022-02-25,Current Information War,Switzerland,22,Zurich
Die ersten Flüchtlinge aus der Ukraine sind schon in Berlin - B.Z. ... - B.Z. – Die Stimme Berlins,CH,de,2022-02-25,Current Information Refugees,Switzerland,30,Hamburg
Fastnacht trotz Ukraine-Krieg? Kretschmann nimmt Stellung - SWR Aktuell,CH,de,2022-02-25,Current Information War,Switzerland,21,Ticino
"Ukraine : cinq millions d'Ukrainiens pourraient fuir leur pays, selon ... - ONU Info",CH,fr,2022-02-25,Volunteering and Donations,Switzerland,26,Vaud
"Réfugiés ukrainiens : ""une immigration de qualité dont on pourra ... - Marianne",CH,fr,2022-02-25,Local Communities,Switzerland,22,Geneva
Guerre en Ukraine : La solidarité des Polonais envers les réfugiés ukrainiens - 20 Minutes,CH,fr,2022-02-25,Current Information Refugees,Switzerland,29,Aargau
"«C'est pas des syriens », les ukrainiens « on peut en tirer profit » : surenchère réac à la télé - http://www.revolutionpermanente.fr/Section-Politique",CH,fr,2022-02-25,Volunteering and Donations,Switzerland,48,Lucerne
Ukraine : envie d’apporter votre aide à la population ? Voici comment faire. - POSITIVR,CH,fr,2022-02-25,Volunteering and Donations,Switzerland,25,Hamburg
François: une prophétie de la non-violence est nécessaire - Vatican News - Français,CH,fr,2022-02-25,Volunteering and Donations,Switzerland,20,Bremen
Ukraine-Krieg: Viele Flüchtlinge in Polen - UN rechnet mit vier Millionen Migranten - RND,DE,de,2022-02-25,Current Information Refugees,Germany,29,Appenzell Innerrhoden
Ukraine-Krieg: Flüchtlinge - UN erwarten bis zu vier Millionen Migranten - RND,DE,de,2022-02-25,Local Communities,Germany,24,Vaud
Ukraine-Konflikt: Panzer nähern sich aus Belarus– Was will ... - fr.de,DE,de,2022-02-25,Current Information War,Germany,23,Zug
Angriff auf die Ukraine: CDU fordert konkrete Vorbereitungen zur ... - WELT,DE,de,2022-02-25,Current Information War,Germany,25,Schleswig-Holstein
"Ukraine-Russland-Krieg: ""Putin ist ein Terrorist!"" - WDR Nachrichten",DE,de,2022-02-25,Sanktions Russia and War Strategy,Germany,20,Basel
Bezirksbürgermeister Uwe Brockhausen: „Trauer und Entsetzen ... - Berlin.de,DE,de,2022-02-25,Volunteering and Donations,Germany,24,Appenzell Ausserrhoden
"Politologe zu Ukraine-Krieg: ""Zeit, Einfluss zu nehmen, ist abgelaufen"" - zdf.de",DE,de,2022-02-25,Current Information War,Germany,28,Saxony-Anhalt
Ankerzentrum bei Geldersheim bereitet sich auf Flüchtlinge aus der ... - Main-Post,DE,de,2022-02-25,Accomodation,Germany,24,Saxony
"30 Jahre nach Unabhängigkeit: ""Bosnien kann kein Zuhause sein"" - Kleine Zeitung",DE,de,2022-02-25,Volunteering and Donations,Germany,25,Hesse
Florenz: Friedenstreffen in diesem Moment besonders wichtig - Vatican News - Deutsch,DE,de,2022-02-25,Current Information Refugees,Germany,18,Neuchâtel
"EU will Flüchtlinge aus Ukraine aufnehmen, hofft aber, dass es ... - t-online",DE,de,2022-02-25,Current Information Refugees,Germany,23,Thuringia
"Überfüllte Züge, Stau an der Grenze: UN erwarten bis zu vier ... - Tagesspiegel",DE,de,2022-02-25,Refugee Routes from Ukraine,Germany,28,Saxony
"Ukraine: ""Beten und demonstrieren reicht nicht"" - Freising - SZ.de - Süddeutsche Zeitung - SZ.de",DE,de,2022-02-25,Volunteering and Donations,Germany,30,Rhineland-Palatinate
"Erst kamen die Deutschen, jetzt die Russen (nd-aktuell.de) - nd - Journalismus von links",DE,de,2022-02-25,Volunteering and Donations,Germany,26,Ticino
L'OEIL DU TEMOIN DE CE VENDREDI - seneplus.com,CH,fr,2022-02-25,Current Information Refugees,Switzerland,19,Bern
"F1 et politique : Silence, on roule ! - Autohebdo",CH,fr,2022-02-25,Volunteering and Donations,Switzerland,16,Ticino
La Suisse adopte une ligne plus dure envers la Russie - RTS.ch,CH,fr,2022-02-25,Sanktions Russia and War Strategy,Switzerland,18,Zurich
Invasion en Ukraine: des demandes d'asile d'Ukrainiens déjà ... - Sudinfo.be,CH,fr,2022-02-25,Local Communities,Switzerland,24,Berlin
Les collectivités françaises se mobilisent pour l'Ukraine - La Gazette des communes,CH,fr,2022-02-25,Refugee Routes from Ukraine,Switzerland,21,Basel
"Guerre en Ukraine | Le Canada doit lever les visas, demandent les ... - La Presse",CH,fr,2022-02-25,Local Communities,Switzerland,21,Schaffhausen
L'armée russe poursuit son offensive en direction de Kiev - RTS.ch,CH,fr,2022-02-25,Sanktions Russia and War Strategy,Switzerland,16,Saxony
"Guerre en Ukraine : fuir ou se battre, le dilemme des Ukrainiens à la ... - Le Monde",CH,fr,2022-02-25,Current Information War,Switzerland,27,Glarus
Guerre en Ukraine: quatre impacts probables pour les Belges - Le Vif,CH,fr,2022-02-25,Refugee Routes from Ukraine,Switzerland,18,Bremen
Lyon. Accueil des réfugiés ukrainiens : « La Ville de Lyon se tient ... - Le Progrès,CH,fr,2022-02-25,Current Information Refugees,Switzerland,29,Basel
"Sanctions, suspension des visas....les armes européennes pour ... - Le Temps",CH,fr,2022-02-25,Refugee Routes from Ukraine,Switzerland,18,Rhineland-Palatinate
Ukraine : les équipes MSF préoccupées par les conséquences du ... - Médecins Sans Frontières Belgique,CH,fr,2022-02-25,Volunteering and Donations,Switzerland,28,Bremen
"ENTRETIEN. Guerre en Ukraine : l'inquiétude de Larysa, née à Kiev et installée en Ariège - LaDepeche.fr",CH,fr,2022-02-25,Current Information War,Switzerland,36,Thuringia
Guerre en Ukraine - Les avocats du barreau d'Epinal se mobilisent ... - Epinal Infos,CH,fr,2022-02-25,Current Information War,Switzerland,26,Uri
"Mitia Fedotenko : « Russe d'origine ukrainienne, je suis coupé en ... - Le Club de Mediapart",CH,fr,2022-02-25,Sanktions Russia and War Strategy,Switzerland,31,Schleswig-Holstein
"En Pologne, l'arrivée des réfugiés ukrainiens fuyant la guerre - Le Temps",CH,fr,2022-02-25,Current Information Refugees,Switzerland,28,Glarus
Réfugiés ukrainiens : « Il ne faut pas refaire les erreurs de la crise syrienne » - ELLE France,CH,fr,2022-02-25,Local Communities,Switzerland,31,Schwyz
Charente-Maritime : une association de Sainte-Soulle lance un ... - Sud Ouest,CH,fr,2022-02-25,Migration Apart from Ukraine,Switzerland,21,Saxony
Guerre en Ukraine : le maire de Sarrebruck prêt à accueillir des ... - Radio Mélodie,CH,fr,2022-02-25,Current Information War,Switzerland,28,Lucerne
Guerre en Ukraine. Besançon : le boulanger Stéphane Ravacley ... - Est Républicain,CH,fr,2022-02-25,Current Information War,Switzerland,27,Schwyz
Guerre en Ukraine : la Mairie de Cannes lance une collecte… - Mairie de Cannes,CH,fr,2022-02-25,Current Information War,Switzerland,21,Grisons
"« On ne dort plus, on ne mange plus » : les Ukrainiens de France, entre angoisse et envie de se battre - L'Obs",CH,fr,2022-02-25,Volunteering and Donations,Switzerland,33,Vaud
Guerre en Ukraine : des milliers d'Ukrainiens fuient les combats - franceinfo,CH,fr,2022-02-25,Current Information War,Switzerland,23,Bremen
Guerre en Ukraine: quelles conséquences pour les pays d'Europe ... - Le Figaro,CH,fr,2022-02-25,Refugee Routes from Ukraine,Switzerland,22,Vaud
"« Si l’Europe n’arrête pas Poutine en Ukraine, il arrivera aux portes de Berlin ou de Paris », prédit l’opposante biélorusse, Svetlana Tikhanovskaïa - Public Senat",CH,fr,2022-02-25,Sanktions Russia and War Strategy,Switzerland,57,Bavaria
Guerre contre l'Ukraine : Que veut vraiment Vladimir Poutine ? - Le Pèlerin Magazine,CH,fr,2022-02-25,Sanktions Russia and War Strategy,Switzerland,23,Schleswig-Holstein
Conseil de sécurité : projet de résolution déplorant « l'agression ... - ONU Info,CH,fr,2022-02-25,Volunteering and Donations,Switzerland,24,Hesse
"Maryna, Ukrainienne de Bruxelles: ""Je ne peux pas me fâcher de ... - lavenir.net",CH,fr,2022-02-25,Volunteering and Donations,Switzerland,26,Grisons
Guerre en Ukraine: les manifestations de solidarité en Russie durement réprimées - Libération,CH,fr,2022-02-25,Sanktions Russia and War Strategy,Switzerland,23,Neuchâtel
Friedensgebet am 28. Februar: Frieden für die Ukraine und ganz ... - Leipziger Internet-Zeitung,DE,de,2022-02-25,Current Information War,Germany,29,Schleswig-Holstein
Westen verhängt direkte Sanktionen gegen Putin und Lawrow - ORF.at,CH,de,2022-02-25,Sanktions Russia and War Strategy,Switzerland,21,Bern
